"","Job_Title","Company","Location","Links"
"123","Director, Data Science","Bain & Company Inc","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=03893d630e2e1c72&fccid=48270b2eee62c2c6&vjs=3"
"124","Data Engineer","Verizon","Alpharetta, GA 30022","/rc/clk?jk=be20511805d91655&fccid=f7029f63fe5c906e&vjs=3"
"125","Portfolio Architect, Decision Science","Delta","Atlanta, GA","/rc/clk?jk=919600279135c238&fccid=3f721eb1d31080a6&vjs=3"
"126","Lead Data Scientist (remote)","Thrivent","Atlanta, GA","/rc/clk?jk=24a67a94094eadf7&fccid=c40fae22b6a11e7d&vjs=3"
"127","Senior Data Analyst","Vimo Inc","Atlanta, GA 30339","/rc/clk?jk=a63e54aced2c38aa&fccid=58bee800abeb897d&vjs=3"
"128","Senior Data Scientist","CJ Affiliate","Atlanta, GA 30328","/rc/clk?jk=6b264656e66e72c4&fccid=6d92f77049ca232e&vjs=3"
"129","AI/ML Health Data Scientist – Managing Consultant","Guidehouse","Atlanta, GA 30309 (Midtown area)","/rc/clk?jk=6d0f6102ba334532&fccid=b8fdf400786b78b1&vjs=3"
"130","Senior Data Scientist & Analytics Engineer Job","Acuity Brands","Conyers, GA 30012","/rc/clk?jk=0183b597f0c1757d&fccid=7fafd2106b16b1de&vjs=3"
"131","Automation Developer - Data and Machine Learning Products Team","Turner","Atlanta, GA","/rc/clk?jk=9b47159a09659976&fccid=92b6ad9b1bd886b6&vjs=3"
"132","Statistician IV","Goldbelt, Inc.","Atlanta, GA","/company/Goldbelt,-Inc./jobs/Statistician-7eed97fdef757ab0?fccid=f7f5ab591aa9143d&vjs=3"
"133","Software Engineer, Machine Learning, Research","Google","Atlanta, GA","/rc/clk?jk=211ef4316d61ff2b&fccid=a5b4499d9e91a5c6&vjs=3"
"134","Senior Associate, AI, NLP D&A Modeler","KPMG","Atlanta, GA 30308 (Downtown area)","/rc/clk?jk=be7dd5205a43e01e&fccid=2dd390c3a48a7ed0&vjs=3"
"135","Data Scientist","Georgia-Pacific","Atlanta, GA 30308 (Midtown area)","/rc/clk?jk=7fbcbc0674f54601&fccid=f6b5ad8b9dfbe57b&vjs=3"
"136","Data Scientist","CyberCoders","Atlanta, GA 30314 (West End area)","/pagead/clk?mo=r&ad=-6NYlbfkN0CpFJQzrgRR8WqXWK1qKKEqALWJw739KlKqr2H-MSI4eh4ZOxqVaUrhNSyjVEAq5t7HtcOUSrkeIUBjx2O6_VA5GcgZXlSYyMkjTZYbFrNN7sDV0-EwJq5Ln98fhbl9vb2fnxqLzP4TZuZQYPW1C226SZWbtJ959Gc4NkXP_1YYIasuVPHjIgzOc6qMm_Pz7Cz8CsTLYGCLPHm9gN0lYuHFNCXUaTbEGAzhTQo1wobjpZWfEStBaP1lSXWiPW32gTCJmN_kKHOwsxuy9pUijbCCbp9HwFGCpxUexGSkxV-LahsoanxuTcbYh6z7wvIT9pH8xVCwRpuGwLOKQHdaYOccXbJiccPjtidHLx84FAHLeLiNd5SVIYNGfzKaBEUt0iXGbqMHMobXFB-zR750J24cH7WwqQESJbgmHQ9_hh6fFqKOJQWhXkv66wL5FXPxCzCKkncEgK2V9UVw2rpWhd8NZ_NQkA6HELAfb75DNbLnS22LXwh4S6RGDaMgaH4fm5nNil8N5FQAij6edSPrWPYyn406MdhgbNBEOyZ1ukeW4n-8jHUTo1_1Gwszyx4X3GQ4eTticwXjfgqetJhOiiE6QCwpNAZV-WfSU2EVxDMBfn0h7AaalKnFKgNv_i2tZcmzQCfy1YCTnZWcm_VJwzgHbrohHcSgBBOXA7vxmnUghZwuBd6xOwvydh5hy-UuC_1toGBPVLpyoNUCkZN76t0jcZNfFnzf2HuyDPyKJkhkJpyVac-qL9OMpOmAqzjPGAnhpOwYK_ji8eshVuYH0-nAkq-43l0j4vKqXsbxpb1Yn8kgZZ0DZRgA8Wprcvid-h0iVv_KYOQGae3FSdc35LNHjVdq1auWjga3vDTtcnNENYF3kB6kQdzoM8mz5zm-bQ2w1mP2VAwL39p_inAJFfkJWh5XfE4mQMhwGQpxTX_lZmXTeJ6wxuEZeOZxmZAnbjCo0Ve3rQSJ5A==&p=14&fvj=0&vjs=3"
"137","Data Scientist(Machine Learning,Deep Learning,Python,R)- USC/ GC (TX,GA,NY)","Brilliant Infotech","Atlanta, GA","/company/Brilliant-Infotech-Inc./jobs/Data-Scientist-1abde5418821db73?fccid=f7e3a741e5126bf9&vjs=3"
"138","Lead Developer (Data & Machine Learning Products Team)","Turner","Atlanta, GA","/rc/clk?jk=4bf1c440e60490cc&fccid=92b6ad9b1bd886b6&vjs=3"
